h,famous
1.6313375541690643e-11,0.0
4.014413698879273e-12,0.0
2.147011324793418e-11,0.0
1.3928151366932104e-11,0.0
1.1099418689859221e-11,0.0
1.9356631016108204e-11,0.0
1.3679839361888982e-11,0.0
4.596714491470326e-12,0.0
1.4954458967306888e-11,0.0
0.08625229942322828,0.0
1.2866005669448557e-11,0.0
1.3881400340012373e-11,0.0
9.66985425514864e-12,0.0
2.21656276197548e-11,1.0
2.068103469846912e-11,0.0
1.3932255172285495e-11,1.0
4.1547643380166664e-12,0.0
4.467120868960361e-12,0.0
1.5619848900236512e-11,0.0
1.3429133771942095e-11,0.0
1.927552583890589e-11,0.0
1.543113946078214e-11,0.0
1.5962519142136496e-11,0.0
1.1595606926759443e-11,0.0
2.1265115937632895e-11,0.0
1.3918632836537897e-11,0.0
2.552126537365448e-11,0.0
1.2703741802702936e-11,0.0
1.0114761169436691e-11,0.0
1.9803212765248442e-11,0.0
1.8694968360071382e-11,0.0
1.6597631305393268e-11,1.0
1.5510712276909745e-11,0.0
4.641599633269827e-12,0.0
1.6323878898014558e-11,0.0
1.3888666877448424e-11,1.0
1.2902245375996134e-11,0.0
4.687370004989106e-12,0.0
4.1547643380166664e-12,0.0
4.596714491470326e-12,0.0
1.5383871434919286e-11,0.0
1.2900578165330283e-11,0.0
0.03603455920027475,0.0
1.3295433529563622e-11,0.0
1.8026277058353612e-11,0.0
4.391268534338556e-12,1.0
4.687370004989106e-12,0.0
1.86886735347614e-11,0.0
1.8725858037389003e-11,1.0
1.675247184496619e-11,0.0
1.5265555532378883e-11,0.0
4.11876459552518e-12,0.0
1.4994799715806626e-11,0.0
1.8318113386065245e-11,0.0
1.6654302491471488e-11,0.0
1.2628833188923308e-11,0.0
3.537439464515057e-11,0.0
1.4801363702939043e-11,0.0
1.9590951036043184e-11,0.0
1.1998667244715576e-11,0.0
2.600682486075002e-10,0.0
4.344634163672422e-12,0.0
1.3205029055472144e-11,0.0
1.2597074180505283e-11,0.0
1.3992171283866188e-11,0.0
1.6044776289897483e-11,0.0
1.6548114992918262e-11,0.0
1.3735538535429807e-11,0.0
1.121064020591366e-11,0.0
1.0095386340946618e-11,0.0
2.4852410274386138e-11,0.0
1.48690061854102e-11,0.0
1.0364248420026487e-11,0.0
1.952024018577988e-11,0.0
1.1555976658588827e-11,0.0
1.1800633633277623e-11,0.0
1.540119364397603e-11,0.0
1.3807721166738985e-11,0.0
1.7393534877791276e-11,0.0
1.4585499666400836e-11,0.0
1.742527368618809e-11,0.0
1.8402494926431026e-11,0.0
4.384709828619403e-12,0.0
1.606982453803042e-11,0.0
1.4871812940868253e-11,0.0
1.4356520766362378e-11,0.0
2.0534430735338866e-11,1.0
1.1833990122346854e-11,0.0
1.3661637286848558e-11,0.0
4.2666411282348416e-12,0.0
4.596714491470326e-12,0.0
4.083383355114349e-12,0.0
5.887788718537171e-11,0.0
2.0154547446263763e-11,0.0
1.9184428802789097e-11,0.0
4.687370004989106e-12,0.0
1.760020049582608e-11,0.0
1.6689459482145666e-11,0.0
1.8501023779979693e-11,1.0
1.3686083587868825e-11,0.0
1.655404901681082e-11,0.0
1.4233269714601758e-11,0.0
1.3569045235664506e-11,0.0
2.5314401474081315e-11,1.0
1.448066457013191e-11,0.0
1.5037998340657887e-11,0.0
2.1081878389422966e-11,0.0
1.3313707400938637e-11,0.0
1.7310119359978637e-11,0.0
1.944147646790739e-11,0.0
4.648958859117679e-12,1.0
1.4619852201088352e-11,0.0
2.235530226235333e-11,1.0
1.1643626275536427e-11,0.0
1.51534341241224e-11,0.0
1.3276808566519467e-11,0.0
1.259699242808104e-11,0.0
1.6003580122825262e-11,0.0
4.014413698879273e-12,0.0
1.8948700240635156e-11,0.0
4.344634163672422e-12,0.0
4.552689143842819e-12,0.0
4.1547643380166664e-12,0.0
4.1547643380166664e-12,0.0
1.472558251824533e-11,0.0
1.0995689278817634e-11,0.0
1.988120987047207e-11,0.0
4.307330797004414e-11,0.0
1.7875328640049412e-11,1.0
1.760837162250398e-11,0.0
1.631964218874956e-11,0.0
1.3858966162657702e-11,0.0
4.781673298691417e-12,0.0
1.3090085970874655e-11,0.0
4.467120868960361e-12,0.0
1.3338501037525562e-11,0.0
1.3176098080237639e-11,0.0
4.344634163672422e-12,0.0
1.4376606333385803e-11,1.0
1.8590656099824852e-11,1.0
4.344634163672422e-12,0.0
1.8402464195161284e-11,0.0
1.2944014161889277e-11,0.0
1.8955608756278687e-11,0.0
1.2834473693942442e-11,0.0
3.096685399796747e-11,1.0
1.9367721189887646e-11,0.0
1.3582068873767213e-11,0.0
1.8544168357284423e-11,0.0
1.3232436637970377e-11,0.0
4.384709828619403e-12,0.0
2.4618511917864088e-11,0.0
1.6310245864032493e-11,0.0
2.6658348380839122e-11,0.0
1.5364084926603213e-11,0.0
1.3454293035699399e-11,0.0
4.687370004989106e-12,0.0
2.669793940343572e-11,0.0
1.477790798619742e-11,0.0
1.4609422391374456e-11,0.0
1.9119933267536477e-11,0.0
4.2666411282348416e-12,0.0
2.1745620949732933e-11,0.0
1.3855887184373274e-11,0.0
4.467120868960361e-12,0.0
1.717509778440859e-11,1.0
2.1924337697335926e-11,1.0
6.314036924025489e-12,0.0
1.6074002936700837e-11,0.0
1.4744882075977553e-11,0.0
1.8425629780038786e-11,0.0
1.4164875180438388e-11,0.0
