h,famous
0.6337081,1.0
0.36549625,0.0
0.53296834,0.0
0.702867,1.0
0.43211263,0.0
0.4668251,0.0
0.724318,1.0
0.44939432,0.0
0.7355122,1.0
0.46826982,0.0
0.4664373,0.0
0.5337792,0.0
0.49983943,0.0
0.3655976,0.0
0.5665743,0.0
0.5998935,0.0
0.5975407,0.0
0.36543077,0.0
0.6990045,0.0
0.63300663,0.0
0.3338039,0.0
0.63438267,0.0
0.43289,0.0
0.4324914,0.0
0.7385699,1.0
0.5334171,0.0
0.46645638,0.0
0.56696814,0.0
0.43222886,0.0
0.566867,0.0
0.53948104,0.0
0.6332961,0.0
0.46679524,0.0
0.30077502,0.0
0.73353827,0.0
0.8324592,0.0
0.43243158,0.0
0.8337292,0.0
0.5750705,0.0
0.7052275,1.0
0.46616054,1.0
0.6999652,0.0
0.30061075,0.0
0.5249487,0.0
0.56982243,0.0
0.6991227,0.0
0.66445935,0.0
0.5751537,0.0
0.33422175,0.0
0.60031515,0.0
0.6336179,0.0
0.6694306,1.0
0.5368297,1.0
0.69878256,0.0
0.6737017,0.0
0.6329972,0.0
0.4324483,0.0
0.4665936,0.0
0.632884,0.0
0.33392757,0.0
0.525423,0.0
0.27600974,0.0
0.56695825,0.0
0.36586505,0.0
0.49992013,0.0
0.31967375,1.0
0.5997234,1.0
0.6253445,0.0
0.36541235,0.0
0.7678008,0.0
0.73228437,0.0
0.80324817,0.0
0.39924005,0.0
0.3345854,0.0
0.70078874,1.0
0.43204838,0.0
0.56760174,1.0
0.6361356,0.0
0.7316465,1.0
0.6990588,0.0
0.5002243,0.0
0.5999609,0.0
0.43209222,0.0
0.5671523,0.0
0.53328115,0.0
0.334116,0.0
0.46648908,0.0
0.4493793,0.0
0.60020155,0.0
0.67413336,0.0
0.5333339,0.0
0.76615256,1.0
0.7279949,1.0
0.66504514,0.0
0.46777514,1.0
0.69848967,0.0
0.76904386,0.0
0.4995986,0.0
0.5672329,0.0
0.7022115,1.0
0.6325741,1.0
0.43301746,0.0
0.8357154,1.0
0.49988404,0.0
0.40444437,1.0
0.70074975,1.0
0.5672633,0.0
0.63424605,0.0
0.4326668,0.0
0.6682509,1.0
0.43242538,0.0
0.43215504,0.0
0.59982914,0.0
0.63530606,0.0
0.4662496,0.0
0.30034488,0.0
0.4337094,0.0
0.80086434,0.0
0.60035086,0.0
0.5660488,0.0
0.565895,1.0
0.46692997,0.0
0.42419535,0.0
0.7672307,0.0
0.5667563,0.0
0.39883855,0.0
0.43255502,0.0
0.5364779,1.0
0.56687915,0.0
0.6002504,0.0
0.5674303,1.0
0.566618,0.0
0.5000477,0.0
0.63198143,1.0
0.60023236,0.0
0.43545708,0.0
0.53343785,0.0
0.66565096,0.0
0.6691126,1.0
0.70249695,1.0
0.60022706,0.0
0.5666586,0.0
0.6000475,0.0
0.69804746,0.0
0.6329348,1.0
0.33420745,0.0
0.5748544,0.0
0.6984865,0.0
0.39902574,0.0
0.50285965,1.0
0.53575927,1.0
0.69875115,0.0
0.665218,0.0
0.6710816,1.0
0.8354025,0.0
0.6652578,0.0
0.70306236,1.0
0.50200784,1.0
0.6656377,0.0
0.3338272,0.0
0.49980327,0.0
0.6985456,0.0
0.6001438,0.0
0.6645231,0.0
0.73216885,0.0
0.66537696,0.0
0.73210585,0.0
0.750187,0.0
0.69846696,0.0
0.6987817,0.0
0.8005415,0.0
0.5335818,0.0
0.33387884,0.0
0.59991854,0.0
0.5331496,0.0
0.4312267,0.0
0.566662,1.0
0.76745635,1.0
0.6654412,0.0
0.63344663,0.0
0.6002287,0.0
0.53285843,0.0
0.69911706,0.0
0.63285553,1.0
0.6335044,0.0
0.4664122,0.0
0.7682495,0.0
0.46636516,0.0
0.69914347,0.0
0.33474746,0.0
0.5669013,0.0
0.43214974,0.0
0.3165699,1.0
0.7271509,1.0
0.39901888,0.0
0.69903153,0.0
0.6010203,1.0
0.30075997,0.0
0.6999806,0.0
0.6331726,0.0
0.5332504,0.0
0.62518126,0.0
0.56500196,1.0
0.59895235,1.0
0.59982586,0.0
0.43305403,0.0
0.4999711,0.0
0.5666015,0.0
0.46813267,0.0
0.7489788,1.0
0.6736774,0.0
0.5666523,0.0
0.5329853,0.0
0.6338098,0.0
0.800927,0.0
0.66865605,1.0
0.50025237,0.0
0.50019234,0.0
0.5637213,1.0
0.5332676,0.0
0.53277737,0.0
0.8318923,0.0
0.39968386,0.0
0.6337178,0.0
0.76542836,1.0
0.57293683,1.0
0.76757103,0.0
0.52821493,1.0
0.53323287,0.0
0.4654666,1.0
0.6337969,0.0
0.3989851,0.0
0.3659764,0.0
0.7655443,0.0
0.0003666273,1.0
0.46616948,0.0
0.8004835,0.0
0.6002652,0.0
0.80173147,1.0
0.66536045,0.0
0.7685405,0.0
0.43220946,0.0
0.6681726,1.0
0.60067904,1.0
0.46655467,0.0
0.7339333,0.0
0.43202204,0.0
0.60052705,0.0
0.44035602,1.0
0.5497622,0.0
0.62565994,0.0
0.5009622,0.0
0.3344877,0.0
0.62557316,1.0
0.59979296,0.0
0.53319764,0.0
0.7038028,1.0
0.56668985,0.0
0.76726776,0.0
0.73197556,0.0
0.7035624,1.0
0.63361543,0.0
0.6990105,0.0
0.7325161,0.0
0.49976933,0.0
0.5502611,0.0
0.45032534,0.0
0.6988971,0.0
0.6997936,1.0
0.66548103,0.0
0.5002658,0.0
0.7270201,1.0
0.5607145,0.0
0.6004035,0.0
0.39948145,0.0
0.3658413,0.0
0.4060942,1.0
0.7322065,0.0
0.30091596,0.0
0.5330873,0.0
0.7682507,0.0
0.49979004,0.0
0.36580864,0.0
0.36581105,0.0
0.5245783,0.0
0.7358278,1.0
0.4328571,0.0
0.49957407,0.0
0.6701618,1.0
