corr,precision,fairperception,wsd,wrd,h
0.5950565091812557,0.6497057321128924,0.7871740662438337,0.00287128695636163,0.010763961663152978,[0.57269542 0.57269542 0.4888907  ... 0.57269542 0.57269542 0.56666657]
0.5952568715197751,0.6498066380738763,0.7723749119097957,0.002871286955005578,0.010740801320197885,[0.57269542 0.57269542 0.4888907  ... 0.57269542 0.57269542 0.56666657]
0.9971238574456531,0.9295078401424597,0.6631430584918957,0.0009292966369808332,7.617822054117712e-05,[0.59880126 0.73256378 0.53224322 ... 0.52556045 0.66421925 0.56666681]
0.997123414010053,0.9295072764956221,0.6631430584918957,0.0009312609508993319,7.632383958444315e-05,[0.59804461 0.73208364 0.53156023 ... 0.52591861 0.6626938  0.56666679]
0.9971036450370223,0.9294886234817069,0.6596194503171248,0.0009349584650838367,7.717339920784196e-05,[0.59680151 0.73130336 0.53044745 ... 0.52651295 0.66022121 0.56666676]
0.9970599451616328,0.9295065542080653,0.6575052854122622,0.0009422717071244373,8.156065280065469e-05,[0.59474412 0.73003207 0.52863049 ... 0.52751063 0.65621513 0.5666667 ]
0.9969487702837468,0.9292374562669478,0.6575052854122622,0.0009574390176677435,8.604365565603554e-05,[0.59130512 0.72796431 0.52565935 ... 0.52920876 0.64972691 0.56666661]
0.9960896432654945,0.9286952940149884,0.6546863988724454,0.000990174304504297,0.00011869012548532057,[0.58547637 0.72458892 0.52080113 ... 0.53214268 0.63924782 0.56666648]
0.9912092122711645,0.9255718300565334,0.6441155743481325,0.0010621726576135,0.00026646397167041095,[0.57506751 0.71908825 0.51291574 ... 0.53725543 0.62228286 0.56666628]
0.9754454985964129,0.9149958206249068,0.6250880902043693,0.0012211442230536122,0.0006981880194672712,[0.55621716 0.71039046 0.50053773 ... 0.54598017 0.59493516 0.56666601]
0.9335275339508252,0.8876423455704061,0.5926708949964764,0.001560251837839279,0.0018697278449598001,[0.51968868 0.69668161 0.48263905 ... 0.55888752 0.56219859 0.56666574]
0.8405249690787747,0.8220623315982798,0.5461592670894997,0.0021630961468781258,0.004453761179318536,[0.51384095 0.67713013 0.48231565 ... 0.57079266 0.55193444 0.56666574]
0.7497245548065832,0.7585925604877886,0.4996476391825229,0.002699889478582258,0.008361108260488402,[0.53312721 0.63642643 0.48590269 ... 0.5741292  0.55100607 0.56666583]
0.7109698971138032,0.729622944821288,0.4749823819591261,0.0029233887362127803,0.010702102178039671,[0.55025512 0.57333493 0.48748309 ... 0.57597314 0.55545241 0.56666594]
0.6814016632309556,0.7072537465208303,0.452431289640592,0.003119458243976588,0.0129572609299427,[0.55792994 0.57123047 0.48849831 ... 0.57547967 0.56118707 0.56666605]
0.6564712096361454,0.695344758360098,0.43481324876673716,0.0030691414366022904,0.013317092728293355,[0.56545265 0.5692108  0.48879319 ... 0.57258326 0.56580113 0.56666613]
0.6287262425516845,0.6751283804865302,0.42212825933756165,0.0029548237602576837,0.012690443227940627,[0.5693999  0.5698776  0.48887398 ... 0.57017342 0.56922924 0.56666626]
0.6237495108745281,0.6707728964231079,0.44115574348132486,0.002898411166495945,0.013388617417599615,[0.57131965 0.57158336 0.48889105 ... 0.57146216 0.57130034 0.56666643]
0.61443066941913,0.6654928923409766,0.4369274136715997,0.0028825337604926875,0.011150007169658983,[0.57219159 0.57228017 0.48889332 ... 0.57215303 0.57215826 0.56666684]
0.5921179914466894,0.6498712307557033,0.7477096546863988,0.0028701730907697014,0.0075687837212446854,[0.57269459 0.57269408 0.48889393 ... 0.57269408 0.57269411 0.56666639]
0.6056724270784768,0.6557426931575361,0.740662438336857,0.002870173740443582,0.011836047740656037,[0.57269412 0.57269412 0.48889393 ... 0.57269412 0.57269412 0.56666639]
0.5963594706090358,0.6497106421790037,0.7836504580690627,0.002870173749439524,0.011300306480332256,[0.57269412 0.57269412 0.48889393 ... 0.57269412 0.57269412 0.56666639]
0.9971238721060285,0.9295060344552747,0.6631430584918957,0.0009270684210915855,7.607296304045844e-05,[0.59879985 0.73256522 0.53224329 ... 0.52555996 0.66422068 0.56666708]
0.9971234129628839,0.9295077648794934,0.6631430584918957,0.0009290532564270295,7.616119541561483e-05,[0.59804342 0.73208533 0.5315603  ... 0.52591805 0.66269547 0.56666702]
0.9971034743518064,0.9294902651876337,0.6596194503171248,0.0009327777309018484,7.682338202836296e-05,[0.59680068 0.73130545 0.53044755 ... 0.52651227 0.66022328 0.56666692]
